year,calendar_year,copper_price_usd_per_lb,base_processed_tonnes,base_head_grade,base_recovery,base_unit_cost_usd_per_tonne,expansion_unit_cost_usd_per_tonne,initial_capex_usd,sustaining_capex_usd
1,2026,3.913670175164541,150000000.0,0.0034,0.842,22.0,21.3,170000000.0,0.0
2,2027,3.9933950659222437,150000000.0,0.003349,0.842,22.0,21.3,0.0,10000000.0
3,2028,4.074744022562314,150000000.0,0.003298765,0.842,22.0,21.3,0.0,10000000.0
4,2029,4.157750128729839,148000000.0,0.003249283525,0.842,22.0,21.3,0.0,10000000.0
5,2030,4.2424471420127405,146000000.0,0.003200544272125,0.842,22.0,21.3,0.0,10000000.0
6,2031,4.328869507670591,144000000.0,0.003152536108043125,0.842,22.0,21.3,0.0,10000000.0
7,2032,4.417052372643078,142000000.0,0.003105248066422478,0.842,22.0,21.3,0.0,10000000.0
8,2033,4.5070315998438515,140000000.0,0.003058669345426141,0.842,22.0,21.3,0.0,10000000.0
9,2034,4.598843782745534,138000000.0,0.003012789305244749,0.842,22.0,21.3,0.0,10000000.0
10,2035,4.6925262602618485,136000000.0,0.0029675974656660775,0.842,22.0,21.3,0.0,10000000.0
11,2036,4.788117131932914,134000000.0,0.0029230835036810864,0.842,22.0,21.3,0.0,10000000.0
12,2037,4.885655273419857,132000000.0,0.00287923725112587,0.842,22.0,21.3,0.0,10000000.0
13,2038,4.985180352315097,130000000.0,0.0028360486923589816,0.842,22.0,21.3,0.0,10000000.0
14,2039,5.086732844274655,128000000.0,0.002793507961973597,0.842,22.0,21.3,0.0,10000000.0
15,2040,5.1903540494791445,126000000.0,0.002751605342543993,0.842,22.0,21.3,0.0,10000000.0
