site_id,period,head_grade_pct_actual,recovery_pct_actual,availability_pct_actual,utilization_pct_actual,downtime_hours_actual
demo_north_concentrator,2025-01,0.715,86.05,90.8,87.8,57
demo_north_concentrator,2025-02,0.745,86.65,91.5,88.5,53
demo_north_concentrator,2025-03,0.735,87.15,91.4,88.9,53
demo_north_concentrator,2025-04,0.765,87.25,92.0,89.2,50
demo_north_concentrator,2025-05,0.775,87.85,92.6,89.7,46
demo_north_concentrator,2025-06,0.785,88.15,92.4,90.0,47
demo_north_concentrator,2025-07,0.795,88.35,92.2,90.4,48
demo_north_concentrator,2025-08,0.815,88.55,92.8,90.8,45
demo_north_concentrator,2025-09,0.785,87.65,91.2,88.9,55
demo_north_concentrator,2025-10,0.795,88.05,92.1,89.8,49
demo_north_concentrator,2025-11,0.775,87.45,91.7,89.4,51
demo_north_concentrator,2025-12,0.765,87.05,91.1,88.8,55
demo_south_concentrator,2025-01,0.654,85.44,87.385,85.361,83
demo_south_concentrator,2025-02,0.684,86.04,88.085,86.061,79
demo_south_concentrator,2025-03,0.672,86.525,87.9,86.4,80
demo_south_concentrator,2025-04,0.703,86.625,88.5,86.7,76
demo_south_concentrator,2025-05,0.711,87.209,89.01,87.136,73
demo_south_concentrator,2025-06,0.721,87.509,88.81,87.436,74
demo_south_concentrator,2025-07,0.731,87.709,88.61,87.836,75
demo_south_concentrator,2025-08,0.751,87.909,89.21,88.236,71
demo_south_concentrator,2025-09,0.723,87.025,87.7,86.4,81
demo_south_concentrator,2025-10,0.733,87.425,88.6,87.3,75
demo_south_concentrator,2025-11,0.714,86.84,88.285,86.961,77
demo_south_concentrator,2025-12,0.704,86.44,87.685,86.361,81
