site_id,period,process_area,ore_source,stockpile_flag,ore_mix_pct,throughput_tonnes_plan,throughput_tonnes_actual,copper_production_tonnes_plan,copper_production_tonnes_actual,availability_pct,downtime_hours
demo_north_concentrator,2025-01,Crushing & Conveying,fresh_pit_north,False,54.0,128412,129151,803,766,92.0,22
demo_north_concentrator,2025-01,Grinding & Flotation,fresh_pit_north,False,46.0,109388,105669,742,679,89.3,35
demo_north_concentrator,2025-02,Crushing & Conveying,fresh_pit_north,False,54.0,126846,130125,816,809,92.7,20
demo_north_concentrator,2025-02,Grinding & Flotation,fresh_pit_north,False,46.0,108054,106465,754,718,90.0,33
demo_north_concentrator,2025-03,Crushing & Conveying,fresh_pit_north,False,54.0,132219,134640,843,831,92.6,20
demo_north_concentrator,2025-03,Grinding & Flotation,fresh_pit_north,False,46.0,112631,110160,778,737,89.9,33
demo_north_concentrator,2025-04,Crushing & Conveying,fresh_pit_north,False,54.0,133812,137610,878,885,93.2,19
demo_north_concentrator,2025-04,Grinding & Flotation,fresh_pit_north,False,46.0,113988,112590,811,785,90.5,31
demo_north_concentrator,2025-05,Crushing & Conveying,fresh_pit_north,False,54.0,138672,141246,926,926,93.8,17
demo_north_concentrator,2025-05,Grinding & Flotation,fresh_pit_north,False,46.0,118128,115564,855,822,91.1,29
demo_north_concentrator,2025-06,Crushing & Conveying,fresh_pit_north,False,54.0,139968,143930,961,960,93.6,18
demo_north_concentrator,2025-06,Grinding & Flotation,fresh_pit_north,False,46.0,119232,117760,887,851,90.9,29
demo_north_concentrator,2025-07,Crushing & Conveying,fresh_pit_north,False,54.0,141912,145607,989,985,93.4,18
demo_north_concentrator,2025-07,Grinding & Flotation,fresh_pit_north,False,46.0,120888,119133,912,874,90.7,30
demo_north_concentrator,2025-08,Crushing & Conveying,fresh_pit_north,False,54.0,142560,146278,1006,1017,94.0,17
demo_north_concentrator,2025-08,Grinding & Flotation,fresh_pit_north,False,46.0,121440,119682,929,902,91.3,28
demo_north_concentrator,2025-09,Crushing & Conveying,fresh_pit_north,False,52.0,136219,136740,948,905,92.4,21
demo_north_concentrator,2025-09,Grinding & Flotation,north_blend_stockpile,True,48.0,125741,121260,947,870,89.7,34
demo_north_concentrator,2025-10,Crushing & Conveying,fresh_pit_north,False,52.0,137446,140238,942,945,93.3,19
demo_north_concentrator,2025-10,Grinding & Flotation,north_blend_stockpile,True,48.0,126874,124362,942,907,90.6,30
demo_north_concentrator,2025-11,Crushing & Conveying,fresh_pit_north,False,52.0,136323,139777,920,911,92.9,19
demo_north_concentrator,2025-11,Grinding & Flotation,north_blend_stockpile,True,48.0,125837,123953,919,876,90.2,32
demo_north_concentrator,2025-12,Crushing & Conveying,fresh_pit_north,False,52.0,137228,140402,911,900,92.3,21
demo_north_concentrator,2025-12,Grinding & Flotation,north_blend_stockpile,True,48.0,126672,124508,911,864,89.6,34
demo_south_concentrator,2025-01,Crushing & Conveying,fresh_pit_south,False,51.0,87822,84854,499,456,88.19,32
demo_south_concentrator,2025-01,Grinding & Flotation,fresh_pit_south,False,49.0,84378,78326,519,456,85.29,51
demo_south_concentrator,2025-02,Crushing & Conveying,fresh_pit_south,False,51.0,86751,85493,509,484,88.88,30
demo_south_concentrator,2025-02,Grinding & Flotation,fresh_pit_south,False,49.0,83349,78917,529,484,85.98,49
demo_south_concentrator,2025-03,Crushing & Conveying,fresh_pit_south,False,51.0,86776,84864,502,474,88.7,30
demo_south_concentrator,2025-03,Grinding & Flotation,fresh_pit_south,False,49.0,83374,78336,522,475,85.8,50
demo_south_concentrator,2025-04,Crushing & Conveying,fresh_pit_south,False,51.0,87822,86736,524,508,89.3,29
demo_south_concentrator,2025-04,Grinding & Flotation,fresh_pit_south,False,49.0,84378,80064,546,507,86.4,47
demo_south_concentrator,2025-05,Crushing & Conveying,fresh_pit_south,False,51.0,87312,85379,530,509,89.81,28
demo_south_concentrator,2025-05,Grinding & Flotation,south_stockpile_blend,True,49.0,83888,78811,551,509,86.91,45
demo_south_concentrator,2025-06,Crushing & Conveying,fresh_pit_south,False,51.0,88128,87001,551,528,89.61,28
demo_south_concentrator,2025-06,Grinding & Flotation,south_stockpile_blend,True,49.0,84672,80309,573,527,86.71,46
demo_south_concentrator,2025-07,Crushing & Conveying,fresh_pit_south,False,49.0,85848,84630,544,521,89.41,28
demo_south_concentrator,2025-07,Grinding & Flotation,south_stockpile_blend,True,51.0,89352,84630,614,564,86.51,47
demo_south_concentrator,2025-08,Crushing & Conveying,fresh_pit_south,False,49.0,86240,85020,555,539,90.01,27
demo_south_concentrator,2025-08,Grinding & Flotation,south_stockpile_blend,True,51.0,89760,85020,625,583,87.11,44
demo_south_concentrator,2025-09,Crushing & Conveying,fresh_pit_south,False,49.0,89200,86000,567,518,88.5,31
demo_south_concentrator,2025-09,Grinding & Flotation,south_stockpile_blend,True,51.0,92840,86000,639,562,85.6,50
demo_south_concentrator,2025-10,Crushing & Conveying,fresh_pit_south,False,49.0,90003,88200,563,541,89.4,28
demo_south_concentrator,2025-10,Grinding & Flotation,south_stockpile_blend,True,51.0,93677,88200,635,587,86.5,47
demo_south_concentrator,2025-11,Crushing & Conveying,fresh_pit_south,False,49.0,93022,91635,573,545,89.08,29
demo_south_concentrator,2025-11,Grinding & Flotation,south_stockpile_blend,True,51.0,96818,91635,647,591,86.19,48
demo_south_concentrator,2025-12,Crushing & Conveying,fresh_pit_south,False,49.0,93639,92045,567,538,88.48,31
demo_south_concentrator,2025-12,Grinding & Flotation,south_stockpile_blend,True,51.0,97461,92045,640,582,85.59,50
