dataset_name,dataset_layer,check_name,status,issue_count,affected_columns,detail,sample_values
annual_appendix_inputs,appendix_source,required_columns_present,pass,0,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,All required columns are present.,
annual_appendix_inputs,appendix_source,required_values_complete,pass,0,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,Required columns have no missing values.,
annual_appendix_inputs,appendix_source,duplicate_keys_absent,pass,0,year,No duplicate grain rows detected.,
annual_appendix_inputs,appendix_source,year_sequence_complete,pass,0,year,Project years are contiguous and start at 1.,
annual_appendix_inputs,appendix_source,numeric_ranges_valid,pass,0,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,Numeric values remain inside expected public-safe bounds.,
annual_appendix_inputs,appendix_source,canonical_contract_valid,pass,0,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,Dataset passes the canonical annual appendix validator.,
appendix_parameters,appendix_source,required_columns_present,pass,0,parameter_name; value; unit; parameter_group; used_by; source_type; source_reference; note,All required columns are present.,
appendix_parameters,appendix_source,required_values_complete,pass,0,parameter_name; value; unit; parameter_group; used_by; source_type; source_reference; note,Required columns have no missing values.,
appendix_parameters,appendix_source,duplicate_keys_absent,pass,0,parameter_name,No duplicate grain rows detected.,
appendix_parameters,appendix_source,year_sequence_complete,not_applicable,0,,This dataset has no project-year field.,
appendix_parameters,appendix_source,numeric_ranges_valid,pass,0,value,Numeric values remain inside expected public-safe bounds.,
appendix_parameters,appendix_source,canonical_contract_valid,pass,0,parameter_name; value; unit; parameter_group; used_by; source_type; source_reference; note,Dataset passes the canonical annual appendix validator.,
appendix_scenarios,appendix_source,required_columns_present,pass,0,scenario_id; scenario_name; category; description; price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,All required columns are present.,
appendix_scenarios,appendix_source,required_values_complete,pass,0,scenario_id; scenario_name; category; description; price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,Required columns have no missing values.,
appendix_scenarios,appendix_source,duplicate_keys_absent,pass,0,scenario_id,No duplicate grain rows detected.,
appendix_scenarios,appendix_source,year_sequence_complete,not_applicable,0,,This dataset has no project-year field.,
appendix_scenarios,appendix_source,numeric_ranges_valid,pass,0,price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,Numeric values remain inside expected public-safe bounds.,
appendix_scenarios,appendix_source,canonical_contract_valid,pass,0,scenario_id; scenario_name; category; description; price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,Dataset passes the canonical annual appendix validator.,
appendix_benchmark_metrics,appendix_source,required_columns_present,pass,0,metric; value; unit; currency; valuation_basis; timing_basis; benchmark_source; note,All required columns are present.,
appendix_benchmark_metrics,appendix_source,required_values_complete,pass,0,metric; value; unit; currency; valuation_basis; timing_basis; benchmark_source; note,Required columns have no missing values.,
appendix_benchmark_metrics,appendix_source,duplicate_keys_absent,pass,0,metric,No duplicate grain rows detected.,
appendix_benchmark_metrics,appendix_source,year_sequence_complete,not_applicable,0,,This dataset has no project-year field.,
appendix_benchmark_metrics,appendix_source,numeric_ranges_valid,pass,0,value,Numeric values remain inside expected public-safe bounds.,
appendix_benchmark_metrics,appendix_source,canonical_contract_valid,pass,0,metric; value; unit; currency; valuation_basis; timing_basis; benchmark_source; note,Dataset passes the canonical annual appendix validator.,
