year,metric,copper_price_usd_per_lb,unit,base_processed_tonnes,base_head_grade,base_recovery,net_price_usd_per_lb,expanded_tonnes,scenario_price_usd_per_lb,scenario_grade,scenario_recovery,scenario_net_price_usd_per_lb,copper_fine_lb,revenue_usd,opex_usd,ebitda_usd,taxes_usd,operating_cash_flow_usd,capex_usd,working_capital_delta_usd,free_cash_flow_usd,applied_wacc,discount_factor,discounted_fcf_usd
1,copper_price_usd_per_lb,3.913670175164541,USD/lb,150000000.0,0.0034,0.8420000000000001,3.7041233681579593,151422776.195327,3.913670175164541,0.0034,0.8420000000000001,3.7041233681579593,955687610.3538177,3539984810.1706147,3225305132.960465,314679677.21014977,105417691.86540017,209261985.3447496,290000000.0,247798936.71194306,-328536951.36719346,0.1,0.9090909090909091,-298669955.7883577
2,copper_price_usd_per_lb,3.9933950659222437,USD/lb,150000000.0,0.003349,0.8420000000000001,3.780659263285354,158068242.64109984,3.9933950659222437,0.003349,0.8420000000000001,3.780659263285354,982665269.4197178,3715122553.540454,3366853568.255426,348268985.285028,116670110.07048436,231598875.21454364,180000000.0,12259642.035888731,39339233.17865491,0.1,0.8264462809917354,32511762.957566038
3,copper_price_usd_per_lb,4.074744022562314,USD/lb,150000000.0,0.003298765,0.8420000000000001,3.858754261659821,171931757.35890016,4.074744022562314,0.003298765,0.8420000000000001,3.858754261659821,1052818032.175776,4062566068.4105825,3662146431.744573,400419636.6660094,134140578.28311314,266279058.3828963,10000000.0,24321046.040909022,231958012.34198728,0.1,0.7513148009015775,174273487.86024585
4,copper_price_usd_per_lb,4.157750128729839,USD/lb,148000000.0,0.003249283525,0.8420000000000001,3.9384401235806457,176196194.15394402,4.157750128729839,0.003249283525,0.8420000000000001,3.9384401235806457,1062747192.588196,4185566184.512039,3752978935.4790072,432587249.03303194,144916728.42606568,287670520.60696626,10000000.0,8610008.127101958,269060512.4798643,0.1,0.6830134553650705,183771950.3311688
5,copper_price_usd_per_lb,4.2424471420127405,USD/lb,146000000.0,0.003200544272125,0.8420000000000001,4.019749256332231,175004568.75301087,4.2424471420127405,0.003200544272125,0.8420000000000001,4.019749256332231,1039726373.2060243,4179439315.483924,3727597314.439131,451842001.0447931,151367070.3500057,300474930.69478744,10000000.0,-428880.8319680691,290903811.5267555,0.1,0.6209213230591549,180628379.53614408
6,copper_price_usd_per_lb,4.328869507670591,USD/lb,144000000.0,0.003152536108043125,0.8420000000000001,4.102714727363767,172773761.7256013,4.328869507670591,0.003152536108043125,0.8420000000000001,4.102714727363767,1011075747.1931154,4148155358.4895196,3680081124.7553067,468074233.7342129,156804868.3009613,311269365.4332516,10000000.0,-2189876.989608288,303459242.4228599,0.1,0.5644739300537772,171294831.18157366
7,copper_price_usd_per_lb,4.417052372643078,USD/lb,142000000.0,0.003105248066422478,0.8420000000000001,4.187370277737355,170396495.594042,4.417052372643078,0.003105248066422478,0.8420000000000001,4.187370277737355,982206475.9452485,4112862203.974284,3629445356.1530943,483416847.8211899,161944644.0200986,321472203.8010913,10000000.0,-2470520.8160665035,313942724.6171578,0.1,0.5131581182307065,161102257.7967616
8,copper_price_usd_per_lb,4.5070315998438515,USD/lb,140000000.0,0.003058669345426141,0.8420000000000001,4.273750335850098,167999532.36018825,4.5070315998438515,0.003058669345426141,0.8420000000000001,4.273750335850098,953863955.0286274,4076576398.158899,3578390039.2720094,498186358.88688946,166892430.22710794,331293928.6597815,10000000.0,-2540006.407076955,323833935.0668585,0.1,0.4665073802097331,151070920.67104897
9,copper_price_usd_per_lb,4.598843782745534,USD/lb,138000000.0,0.003012789305244749,0.8420000000000001,4.3618900314357125,165599937.61504936,4.598843782745534,0.003012789305244749,0.8420000000000001,4.3618900314357125,926135996.2640365,4039703369.8578835,3527278671.200551,512424698.6573324,171662274.05020633,340762424.6071261,10000000.0,-2581111.9810711145,333343536.58819723,0.1,0.42409761837248455,141370199.9669156
10,copper_price_usd_per_lb,4.6925262602618485,USD/lb,136000000.0,0.0029675974656660775,0.8420000000000001,4.451825209851375,163199991.67945942,4.6925262602618485,0.0029675974656660775,0.8420000000000001,4.451825209851375,899023322.262072,4002294690.290629,3476159822.7724853,526134867.51814365,176255180.6185781,349879686.8995656,10000000.0,-2618607.569707811,342498294.4692734,0.1,0.3855432894295314,132047919.07368796
11,copper_price_usd_per_lb,4.788117131932914,USD/lb,134000000.0,0.0029230835036810864,0.8420000000000001,4.543592446655597,160799998.89049673,4.788117131932914,0.0029230835036810864,0.8420000000000001,4.543592446655597,872515393.6503524,3964354352.180476,3425039976.36758,539314375.8128963,180670315.8973202,358644059.91557604,10000000.0,-2655823.667710662,351299883.5832867,0.1,0.3504938994813922,123128466.08446527
12,copper_price_usd_per_lb,4.885655273419857,USD/lb,132000000.0,0.00287923725112587,0.8420000000000001,4.637229062483063,158399999.8520862,4.885655273419857,0.00287923725112587,0.8420000000000001,4.637229062483063,846600389.2480551,3925879929.3305545,3373919996.8494353,551959932.4811192,184906577.3811749,367053355.09994423,10000000.0,-2693209.599494517,359746564.69943875,0.1,0.3186308177103565,114626342.07867384
13,copper_price_usd_per_lb,4.985180352315097,USD/lb,130000000.0,0.0028360486923589816,0.8420000000000001,4.732773138222493,155999999.98028535,4.985180352315097,0.0028360486923589816,0.8420000000000001,4.732773138222493,821266514.6268479,3886868099.7475557,3322799999.5800776,564068100.1674781,188962813.55610514,375105286.61137295,10000000.0,-2730828.0708099008,367836114.68218285,0.1,0.2896643797366877,106549020.00416762
14,copper_price_usd_per_lb,5.086732844274655,USD/lb,128000000.0,0.002793507961973597,0.8420000000000001,4.830263530503669,153599999.99737296,5.086732844274655,0.002793507961973597,0.8420000000000001,4.830263530503669,796502170.5805205,3847315386.5221004,3271679999.9440436,575635386.5780568,192837854.50364903,382797532.0744078,10000000.0,-2768689.9257819057,375566222.0001897,0.1,0.26333125430607973,98898324.31430556
15,copper_price_usd_per_lb,5.1903540494791445,USD/lb,126000000.0,0.002751605342543993,0.8420000000000001,4.929739887499979,151199999.99965003,5.1903540494791445,0.002751605342543993,0.8420000000000001,4.929739887499979,772295971.8141431,3807218257.2077403,3220559999.992545,586658257.2151952,196530516.16709036,390127741.0481048,10000000.0,-266505278.00454184,646633019.0526466,0.1,0.23939204936916333,154798803.62078232
