period,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,quarter_label,month_sort_order
2025-01,2025-01-01,2025,1,1,Jan 2025,Q1 2025,202501
2025-02,2025-02-01,2025,2,1,Feb 2025,Q1 2025,202502
2025-03,2025-03-01,2025,3,1,Mar 2025,Q1 2025,202503
2025-04,2025-04-01,2025,4,2,Apr 2025,Q2 2025,202504
2025-05,2025-05-01,2025,5,2,May 2025,Q2 2025,202505
2025-06,2025-06-01,2025,6,2,Jun 2025,Q2 2025,202506
2025-07,2025-07-01,2025,7,3,Jul 2025,Q3 2025,202507
2025-08,2025-08-01,2025,8,3,Aug 2025,Q3 2025,202508
2025-09,2025-09-01,2025,9,3,Sep 2025,Q3 2025,202509
2025-10,2025-10-01,2025,10,4,Oct 2025,Q4 2025,202510
2025-11,2025-11-01,2025,11,4,Nov 2025,Q4 2025,202511
2025-12,2025-12-01,2025,12,4,Dec 2025,Q4 2025,202512
