year,metric,value,scenario_id,scenario_name,scenario_category,category
1,base_processed_tonnes,150000000.0,base,Base Case,Reference,Operations
2,base_processed_tonnes,150000000.0,base,Base Case,Reference,Operations
3,base_processed_tonnes,150000000.0,base,Base Case,Reference,Operations
4,base_processed_tonnes,148000000.0,base,Base Case,Reference,Operations
5,base_processed_tonnes,146000000.0,base,Base Case,Reference,Operations
6,base_processed_tonnes,144000000.0,base,Base Case,Reference,Operations
7,base_processed_tonnes,142000000.0,base,Base Case,Reference,Operations
8,base_processed_tonnes,140000000.0,base,Base Case,Reference,Operations
9,base_processed_tonnes,138000000.0,base,Base Case,Reference,Operations
10,base_processed_tonnes,136000000.0,base,Base Case,Reference,Operations
11,base_processed_tonnes,134000000.0,base,Base Case,Reference,Operations
12,base_processed_tonnes,132000000.0,base,Base Case,Reference,Operations
13,base_processed_tonnes,130000000.0,base,Base Case,Reference,Operations
14,base_processed_tonnes,128000000.0,base,Base Case,Reference,Operations
15,base_processed_tonnes,126000000.0,base,Base Case,Reference,Operations
1,expanded_tonnes,151422776.195327,base,Base Case,Reference,Operations
2,expanded_tonnes,158068242.64109984,base,Base Case,Reference,Operations
3,expanded_tonnes,171931757.35890016,base,Base Case,Reference,Operations
4,expanded_tonnes,176196194.15394402,base,Base Case,Reference,Operations
5,expanded_tonnes,175004568.75301087,base,Base Case,Reference,Operations
6,expanded_tonnes,172773761.7256013,base,Base Case,Reference,Operations
7,expanded_tonnes,170396495.594042,base,Base Case,Reference,Operations
8,expanded_tonnes,167999532.36018825,base,Base Case,Reference,Operations
9,expanded_tonnes,165599937.61504936,base,Base Case,Reference,Operations
10,expanded_tonnes,163199991.67945942,base,Base Case,Reference,Operations
11,expanded_tonnes,160799998.89049673,base,Base Case,Reference,Operations
12,expanded_tonnes,158399999.8520862,base,Base Case,Reference,Operations
13,expanded_tonnes,155999999.98028535,base,Base Case,Reference,Operations
14,expanded_tonnes,153599999.99737296,base,Base Case,Reference,Operations
15,expanded_tonnes,151199999.99965003,base,Base Case,Reference,Operations
1,scenario_price_usd_per_lb,3.913670175164541,base,Base Case,Reference,Market
2,scenario_price_usd_per_lb,3.9933950659222437,base,Base Case,Reference,Market
3,scenario_price_usd_per_lb,4.074744022562314,base,Base Case,Reference,Market
4,scenario_price_usd_per_lb,4.157750128729839,base,Base Case,Reference,Market
5,scenario_price_usd_per_lb,4.2424471420127405,base,Base Case,Reference,Market
6,scenario_price_usd_per_lb,4.328869507670591,base,Base Case,Reference,Market
7,scenario_price_usd_per_lb,4.417052372643078,base,Base Case,Reference,Market
8,scenario_price_usd_per_lb,4.5070315998438515,base,Base Case,Reference,Market
9,scenario_price_usd_per_lb,4.598843782745534,base,Base Case,Reference,Market
10,scenario_price_usd_per_lb,4.6925262602618485,base,Base Case,Reference,Market
11,scenario_price_usd_per_lb,4.788117131932914,base,Base Case,Reference,Market
12,scenario_price_usd_per_lb,4.885655273419857,base,Base Case,Reference,Market
13,scenario_price_usd_per_lb,4.985180352315097,base,Base Case,Reference,Market
14,scenario_price_usd_per_lb,5.086732844274655,base,Base Case,Reference,Market
15,scenario_price_usd_per_lb,5.1903540494791445,base,Base Case,Reference,Market
1,scenario_grade,0.0034,base,Base Case,Reference,Geology
2,scenario_grade,0.003349,base,Base Case,Reference,Geology
3,scenario_grade,0.003298765,base,Base Case,Reference,Geology
4,scenario_grade,0.003249283525,base,Base Case,Reference,Geology
5,scenario_grade,0.003200544272125,base,Base Case,Reference,Geology
6,scenario_grade,0.003152536108043125,base,Base Case,Reference,Geology
7,scenario_grade,0.003105248066422478,base,Base Case,Reference,Geology
8,scenario_grade,0.003058669345426141,base,Base Case,Reference,Geology
9,scenario_grade,0.003012789305244749,base,Base Case,Reference,Geology
10,scenario_grade,0.0029675974656660775,base,Base Case,Reference,Geology
11,scenario_grade,0.0029230835036810864,base,Base Case,Reference,Geology
12,scenario_grade,0.00287923725112587,base,Base Case,Reference,Geology
13,scenario_grade,0.0028360486923589816,base,Base Case,Reference,Geology
14,scenario_grade,0.002793507961973597,base,Base Case,Reference,Geology
15,scenario_grade,0.002751605342543993,base,Base Case,Reference,Geology
1,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
2,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
3,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
4,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
5,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
6,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
7,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
8,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
9,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
10,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
11,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
12,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
13,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
14,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
15,scenario_recovery,0.8420000000000001,base,Base Case,Reference,Metallurgy
1,scenario_net_price_usd_per_lb,3.7041233681579593,base,Base Case,Reference,Commercial
2,scenario_net_price_usd_per_lb,3.780659263285354,base,Base Case,Reference,Commercial
3,scenario_net_price_usd_per_lb,3.858754261659821,base,Base Case,Reference,Commercial
4,scenario_net_price_usd_per_lb,3.9384401235806457,base,Base Case,Reference,Commercial
5,scenario_net_price_usd_per_lb,4.019749256332231,base,Base Case,Reference,Commercial
6,scenario_net_price_usd_per_lb,4.102714727363767,base,Base Case,Reference,Commercial
7,scenario_net_price_usd_per_lb,4.187370277737355,base,Base Case,Reference,Commercial
