price_factor,grade_factor,recovery_factor,throughput_factor,opex_factor,capex_factor,wacc_shift_bps,npv_usd,npv_sign
0.75,0.9,1.0,1.0,1.0,1.0,0.0,-7058654508.046749,Negative
0.75,0.95,1.0,1.0,1.0,1.0,0.0,-5941846779.82623,Negative
0.75,1.0,1.0,1.0,1.0,1.0,0.0,-4825039051.605708,Negative
0.75,1.05,1.0,1.0,1.0,1.0,0.0,-3708231323.385189,Negative
0.75,1.1,1.0,1.0,1.0,1.0,0.0,-2591423595.164665,Negative
0.85,0.9,1.0,1.0,1.0,1.0,0.0,-4332109022.350504,Negative
0.85,0.95,1.0,1.0,1.0,1.0,0.0,-3063826544.9246387,Negative
0.85,1.0,1.0,1.0,1.0,1.0,0.0,-1796210427.4458573,Negative
0.85,1.05,1.0,1.0,1.0,1.0,0.0,-619118362.7347395,Negative
0.85,1.1,1.0,1.0,1.0,1.0,0.0,323364128.3540611,Positive
0.95,0.9,1.0,1.0,1.0,1.0,0.0,-1609110966.2038517,Negative
0.95,0.95,1.0,1.0,1.0,1.0,0.0,-341173698.98740184,Negative
0.95,1.0,1.0,1.0,1.0,1.0,0.0,669976466.5054748,Positive
0.95,1.05,1.0,1.0,1.0,1.0,0.0,1668304716.067953,Positive
0.95,1.1,1.0,1.0,1.0,1.0,0.0,2666632965.6304307,Positive
1.0,0.9,1.0,1.0,1.0,1.0,0.0,-385575083.30387115,Negative
1.0,0.95,1.0,1.0,1.0,1.0,0.0,683514305.7668849,Positive
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1735098665.2674618,Positive
1.0,1.05,1.0,1.0,1.0,1.0,0.0,2786683024.76804,Positive
1.0,1.1,1.0,1.0,1.0,1.0,0.0,3838267384.268617,Positive
1.05,0.9,1.0,1.0,1.0,1.0,0.0,590539925.1520997,Positive
1.05,0.95,1.0,1.0,1.0,1.0,0.0,1695380394.5907736,Positive
1.05,1.0,1.0,1.0,1.0,1.0,0.0,2800220864.02945,Positive
1.05,1.05,1.0,1.0,1.0,1.0,0.0,3905061333.4681263,Positive
1.05,1.1,1.0,1.0,1.0,1.0,0.0,5009901802.906805,Positive
1.15,0.9,1.0,1.0,1.0,1.0,0.0,2507759882.9236746,Positive
1.15,0.95,1.0,1.0,1.0,1.0,0.0,3719112572.2385464,Positive
1.15,1.0,1.0,1.0,1.0,1.0,0.0,4930465261.55342,Positive
1.15,1.05,1.0,1.0,1.0,1.0,0.0,6141817950.868298,Positive
1.15,1.1,1.0,1.0,1.0,1.0,0.0,7353170640.183173,Positive
1.25,0.9,1.0,1.0,1.0,1.0,0.0,4424979840.695251,Positive
1.25,0.95,1.0,1.0,1.0,1.0,0.0,5742844749.886323,Positive
1.25,1.0,1.0,1.0,1.0,1.0,0.0,7060709659.0773945,Positive
1.25,1.05,1.0,1.0,1.0,1.0,0.0,8378574568.268471,Positive
1.25,1.1,1.0,1.0,1.0,1.0,0.0,9696439477.459545,Positive
