site_id,period,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,metric,metric_display_name,metric_group,unit,dashboard_page,display_order,plan_value,actual_value,variance_value,variance_pct,alert_direction,alert_level,alert_flag,badness_score,alert_message,plan_version,data_classification,sample_data_flag
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,throughput_tonnes,Throughput,Operations,tonnes,Monthly Actual vs Plan,1,237800.0,234820.0,-2980.0,-0.012531539108494534,lower_is_bad,on_track,False,0.012531539108494534,Throughput remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,head_grade_pct,Head Grade,Process Performance,percent,Process Performance,2,0.75,0.715,-0.03500000000000003,-0.04666666666666671,lower_is_bad,critical,True,0.04666666666666671,Head Grade is 4.7% below plan.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,recovery_pct,Recovery,Process Performance,percent,Process Performance,3,86.6,86.05,-0.5499999999999972,-0.006351039260969945,lower_is_bad,on_track,False,0.006351039260969945,Recovery remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,copper_production_tonnes,Copper Production,Production,tonnes,Monthly Actual vs Plan,4,1544.511,1445.0,-99.51099999999997,-0.06442880626942765,lower_is_bad,critical,True,0.06442880626942765,Copper Production is 6.4% below plan.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,copper_price_usd_per_lb,Copper Price,Market,USD/lb,Executive Overview,5,3.92,3.9,-0.020000000000000018,-0.005102040816326535,lower_is_bad,on_track,False,0.005102040816326535,Copper Price remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,net_realized_price_usd_per_lb,Net Realized Price,Market,USD/lb,Executive Overview,6,3.67,3.645,-0.02499999999999991,-0.006811989100817414,lower_is_bad,on_track,False,0.006811989100817414,Net Realized Price remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,unit_cost_usd_per_tonne,Unit Cost,Cost,USD/t,Cost and Margin,7,17.95,18.486287369048632,0.5362873690486332,0.02987673365173444,higher_is_bad,on_track,False,0.02987673365173444,Unit Cost remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,operating_cost_usd,Operating Cost,Cost,USD,Cost and Margin,8,4268510.0,4340950.0,72440.0,0.016970793087049112,higher_is_bad,on_track,False,0.016970793087049112,Operating Cost remains within the monthly tolerance band.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,revenue_proxy_usd,Revenue Proxy,Economics,USD,Executive Overview,9,12059204.020678384,11217001.181044614,-842202.8396337703,-0.06983900746596645,lower_is_bad,warning,True,0.06983900746596645,Revenue Proxy is 7.0% below plan.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
demo_north_concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,ebitda_proxy_usd,EBITDA Proxy,Economics,USD,Cost and Margin,10,7790694.020678384,6876051.181044614,-914642.8396337703,-0.11740197178917401,lower_is_bad,critical,True,0.11740197178917401,EBITDA Proxy is 11.7% below plan.,sample_demo_budget_2025,sample_demo_monthly_monitoring,True
