iteration,average_price_usd_per_lb,terminal_price_usd_per_lb,price_path_std_usd_per_lb,grade_factor,average_recovery,recovery_std,npv_usd,scenario_id,scenario_name,valuation_basis
1,4.06623,4.23006,1.01623,1.07921,0.8388,0.02198,145201560.22215,mc_base,Monte Carlo Base,total_project_expanded_operation
2,4.61534,5.97798,1.38348,1.05426,0.84086,0.0197,2267528995.98195,mc_base,Monte Carlo Base,total_project_expanded_operation
3,4.71545,6.46165,1.1336,0.94488,0.84853,0.02138,55470063.81367,mc_base,Monte Carlo Base,total_project_expanded_operation
4,4.09823,4.09345,0.91488,1.12925,0.84011,0.01748,2683914761.43046,mc_base,Monte Carlo Base,total_project_expanded_operation
5,4.09628,5.18722,1.03483,0.95374,0.83664,0.02409,-2741601089.66806,mc_base,Monte Carlo Base,total_project_expanded_operation
6,4.06095,7.33542,1.16534,0.92961,0.84755,0.02015,-3525134224.53523,mc_base,Monte Carlo Base,total_project_expanded_operation
7,4.64159,5.71667,0.79,0.93937,0.8423,0.02703,1746754079.41499,mc_base,Monte Carlo Base,total_project_expanded_operation
8,4.22353,5.6998,1.25705,0.87228,0.85164,0.02364,-4610092382.08333,mc_base,Monte Carlo Base,total_project_expanded_operation
9,3.75136,4.6197,0.99181,0.85571,0.84696,0.02203,-6963112469.22226,mc_base,Monte Carlo Base,total_project_expanded_operation
10,4.07003,4.36518,0.6803,0.86613,0.84706,0.02074,-4181911552.35064,mc_base,Monte Carlo Base,total_project_expanded_operation
11,4.96979,5.55303,0.84906,0.96296,0.84488,0.02767,3112800824.55091,mc_base,Monte Carlo Base,total_project_expanded_operation
12,3.65545,4.57044,0.65719,1.01461,0.84091,0.02203,-2441482434.06347,mc_base,Monte Carlo Base,total_project_expanded_operation
13,4.87803,5.20172,0.99435,1.0379,0.84562,0.02917,3678550437.38839,mc_base,Monte Carlo Base,total_project_expanded_operation
14,5.11709,5.8191,1.22716,1.06271,0.84414,0.02752,8442432008.19745,mc_base,Monte Carlo Base,total_project_expanded_operation
15,5.06635,6.78642,1.39547,0.90498,0.83662,0.03025,635236971.83968,mc_base,Monte Carlo Base,total_project_expanded_operation
16,4.33955,4.7978,0.80074,0.95302,0.83858,0.02511,-1237021110.71927,mc_base,Monte Carlo Base,total_project_expanded_operation
17,5.3772,9.4438,1.82101,0.85179,0.83579,0.02058,-571781734.93256,mc_base,Monte Carlo Base,total_project_expanded_operation
18,3.94008,4.7053,0.62119,1.02674,0.8462,0.01912,-1276276715.40938,mc_base,Monte Carlo Base,total_project_expanded_operation
19,3.813,4.28143,0.95621,1.05296,0.83807,0.01685,-1660699401.95612,mc_base,Monte Carlo Base,total_project_expanded_operation
20,4.46774,4.87624,0.66967,0.93926,0.84366,0.02489,354439644.57869,mc_base,Monte Carlo Base,total_project_expanded_operation
21,4.55481,3.85688,0.87116,1.09592,0.84307,0.02067,4910270732.95987,mc_base,Monte Carlo Base,total_project_expanded_operation
22,5.15124,8.39724,1.93059,0.87258,0.83673,0.02292,-1701963513.79496,mc_base,Monte Carlo Base,total_project_expanded_operation
23,5.34708,3.55727,1.20439,0.90139,0.85216,0.02153,5614002388.13782,mc_base,Monte Carlo Base,total_project_expanded_operation
24,3.99966,3.94334,0.83536,1.03583,0.84136,0.0169,-746876603.2541,mc_base,Monte Carlo Base,total_project_expanded_operation
25,4.49352,7.28383,0.9737,1.08255,0.82996,0.02108,2576181406.19091,mc_base,Monte Carlo Base,total_project_expanded_operation
26,5.05797,5.99981,1.06666,1.09419,0.84023,0.02296,5294598535.54948,mc_base,Monte Carlo Base,total_project_expanded_operation
27,4.67068,5.4019,0.95746,0.88893,0.8464,0.02516,331140036.41193,mc_base,Monte Carlo Base,total_project_expanded_operation
28,5.05569,6.26086,1.79045,0.90487,0.84145,0.01497,-741630449.3804,mc_base,Monte Carlo Base,total_project_expanded_operation
29,3.70356,4.85488,0.56346,1.09522,0.84031,0.02914,-446786141.6787,mc_base,Monte Carlo Base,total_project_expanded_operation
30,4.88962,5.05648,0.81096,1.07465,0.84086,0.01915,4609636538.39072,mc_base,Monte Carlo Base,total_project_expanded_operation
31,4.84709,4.74006,0.76813,0.88704,0.84109,0.02237,2409842804.24975,mc_base,Monte Carlo Base,total_project_expanded_operation
32,5.24881,4.63005,1.34903,1.01358,0.84453,0.02508,5021367324.4559,mc_base,Monte Carlo Base,total_project_expanded_operation
33,4.6116,5.63158,0.82445,0.94488,0.84819,0.02653,402593218.94169,mc_base,Monte Carlo Base,total_project_expanded_operation
34,4.67896,6.42825,0.95818,0.96009,0.84196,0.02084,2067772437.7934,mc_base,Monte Carlo Base,total_project_expanded_operation
35,4.70486,5.03244,0.9014,1.0923,0.84198,0.0302,5315903858.14705,mc_base,Monte Carlo Base,total_project_expanded_operation
36,4.6124,4.89123,0.81613,1.00311,0.84637,0.01626,2285401129.44868,mc_base,Monte Carlo Base,total_project_expanded_operation
37,3.68638,4.1382,0.61054,1.12191,0.84443,0.01992,-333790186.98284,mc_base,Monte Carlo Base,total_project_expanded_operation
38,5.43362,7.22422,1.76538,1.0917,0.83753,0.01499,5781753681.28372,mc_base,Monte Carlo Base,total_project_expanded_operation
39,4.31681,5.49097,0.95816,0.93316,0.84289,0.02438,-2000204747.94759,mc_base,Monte Carlo Base,total_project_expanded_operation
40,4.50989,5.80791,0.78705,1.13203,0.83363,0.02268,4624251792.68363,mc_base,Monte Carlo Base,total_project_expanded_operation
41,4.43258,3.76459,0.62604,0.90458,0.84358,0.02849,529204290.01465,mc_base,Monte Carlo Base,total_project_expanded_operation
42,5.23544,5.90506,1.01234,1.09613,0.84901,0.01841,8291897521.62422,mc_base,Monte Carlo Base,total_project_expanded_operation
43,4.55032,5.66785,0.66082,1.01257,0.84321,0.01931,2545111797.44985,mc_base,Monte Carlo Base,total_project_expanded_operation
44,4.80938,4.90184,0.78996,0.87524,0.83918,0.01764,1537982718.83891,mc_base,Monte Carlo Base,total_project_expanded_operation
45,4.54858,4.80972,0.86051,0.94969,0.83819,0.01521,878634737.65557,mc_base,Monte Carlo Base,total_project_expanded_operation
46,3.89135,4.40405,0.90313,1.14483,0.85047,0.02138,1306134892.49978,mc_base,Monte Carlo Base,total_project_expanded_operation
47,4.77326,4.58358,0.70266,0.94203,0.84482,0.02402,3066010497.25032,mc_base,Monte Carlo Base,total_project_expanded_operation
48,6.26054,7.61303,1.97189,0.86693,0.84626,0.01923,3217255898.95015,mc_base,Monte Carlo Base,total_project_expanded_operation
49,4.30041,4.6063,0.61029,0.97403,0.84475,0.02475,712817542.4432,mc_base,Monte Carlo Base,total_project_expanded_operation
50,4.97676,7.91215,1.45557,1.10047,0.84243,0.02317,5878698728.72773,mc_base,Monte Carlo Base,total_project_expanded_operation
51,4.0206,4.68513,0.48294,0.95649,0.84167,0.02988,-1280337361.27997,mc_base,Monte Carlo Base,total_project_expanded_operation
52,4.62738,5.40731,1.04297,1.05351,0.84497,0.01781,3569586957.90338,mc_base,Monte Carlo Base,total_project_expanded_operation
53,4.87976,4.47563,1.14493,0.93045,0.83688,0.02334,169206673.64649,mc_base,Monte Carlo Base,total_project_expanded_operation
54,4.26795,5.38989,0.75633,1.11665,0.84762,0.02377,2790783316.59553,mc_base,Monte Carlo Base,total_project_expanded_operation
55,4.60151,4.44751,0.75236,1.13517,0.84953,0.02087,5507213229.98027,mc_base,Monte Carlo Base,total_project_expanded_operation
56,3.46341,4.30515,0.66193,1.13418,0.8356,0.02257,-1451733380.65694,mc_base,Monte Carlo Base,total_project_expanded_operation
57,5.22579,5.74244,1.12134,0.93057,0.84996,0.01957,2876220449.50787,mc_base,Monte Carlo Base,total_project_expanded_operation
58,4.34943,4.9088,0.94483,1.0252,0.84042,0.02785,712751777.98176,mc_base,Monte Carlo Base,total_project_expanded_operation
59,4.03657,6.16888,1.18281,0.96364,0.83594,0.02264,-3489774611.0146,mc_base,Monte Carlo Base,total_project_expanded_operation
