driver,driver_label,direction,shock,scenario_value,npv_usd,impact_vs_base_usd,abs_impact_vs_base_usd,impact_rank
price_factor,Copper Price,down,-0.1,0.9,-416515616.16722775,-2151614281.4346895,2151614281.4346895,2151614281.4346895
price_factor,Copper Price,up,0.1,1.1,3865343062.791437,2130244397.5239754,2130244397.5239754,2151614281.4346895
opex_factor,Unit Opex,down,-0.1,0.9,3614605983.6901054,1879507318.4226437,1879507318.4226437,1881612769.9184093
opex_factor,Unit Opex,up,0.1,1.1,-146514104.65094745,-1881612769.9184093,1881612769.9184093,1881612769.9184093
grade_factor,Head Grade,down,-0.08,0.92,52563690.066539824,-1682534975.200922,1682534975.200922,1682534975.2009254
grade_factor,Head Grade,up,0.08,1.08,3417633640.468387,1682534975.2009254,1682534975.2009254,1682534975.2009254
recovery_factor,Recovery,down,-0.05,0.95,683514305.7668843,-1051584359.5005774,1051584359.5005774,1051584359.5005774
recovery_factor,Recovery,up,0.05,1.05,2786683024.7680383,1051584359.5005765,1051584359.5005765,1051584359.5005774
throughput_factor,Throughput,down,-0.08,0.92,1556169544.8046556,-178929120.46280622,178929120.46280622,178929120.4628086
throughput_factor,Throughput,up,0.08,1.08,1914027785.7302704,178929120.4628086,178929120.4628086,178929120.4628086
wacc_shift_bps,Discount Rate,down,-100.0,-100.0,1898349759.5666223,163251094.29916048,163251094.29916048,163251094.29916048
wacc_shift_bps,Discount Rate,up,100.0,100.0,1587393974.4658148,-147704690.80164695,147704690.80164695,163251094.29916048
capex_factor,Expansion Capex,down,-0.15,0.85,1810325966.3451068,75227301.07764506,75227301.07764506,75227301.07764506
capex_factor,Expansion Capex,up,0.15,1.15,1659871364.1898181,-75227301.07764363,75227301.07764363,75227301.07764506
