metric,display_name,unit,dashboard_page
python_base_npv_usd,Python Base NPV,USD,Executive View
excel_benchmark_npv_pen,Excel Benchmark NPV,PEN,Benchmark
python_expected_npv_usd,Expected NPV,USD,Executive View
python_probability_of_loss,Probability of Loss,ratio,Executive View
python_var_usd,VaR 5%,USD,Risk Distribution
python_cvar_usd,CVaR 5%,USD,Risk Distribution
base_npv_usd,Scenario NPV,USD,Scenario Comparison
total_revenue_usd,Total Revenue,USD,Scenario Comparison
total_ebitda_usd,Total EBITDA,USD,Scenario Comparison
total_capex_usd,Total Capex,USD,Scenario Comparison
total_free_cash_flow_usd,Total Free Cash Flow,USD,Scenario Comparison
average_net_price_usd_per_lb,Average Net Price,USD/lb,Scenario Comparison
average_head_grade,Average Head Grade,decimal,Scenario Comparison
average_recovery,Average Recovery,decimal,Scenario Comparison
peak_revenue_year,Peak Revenue Year,year,Scenario Comparison
peak_fcf_year,Peak FCF Year,year,Scenario Comparison
payback_year,Payback Year,year,Scenario Comparison
