metric,display_name,unit,category,dashboard_page
base_processed_tonnes,Base Processed Tonnes,tonnes,Operations,Operating Profile
expanded_tonnes,Expanded Processed Tonnes,tonnes,Operations,Operating Profile
scenario_price_usd_per_lb,Copper Price,USD/lb,Market,Drivers
scenario_grade,Head Grade,decimal,Geology,Drivers
scenario_recovery,Recovery,decimal,Metallurgy,Drivers
scenario_net_price_usd_per_lb,Net Realized Price,USD/lb,Commercial,Drivers
copper_fine_lb,Copper Fine Production,lb,Production,Operating Profile
revenue_usd,Revenue,USD,Economics,Value Creation
opex_usd,Operating Cost,USD,Economics,Value Creation
ebitda_usd,EBITDA,USD,Economics,Value Creation
taxes_usd,Taxes,USD,Economics,Value Creation
operating_cash_flow_usd,Operating Cash Flow,USD,Cash Flow,Value Creation
capex_usd,Capex,USD,Investment,Value Creation
working_capital_delta_usd,Working Capital Delta,USD,Working Capital,Value Creation
free_cash_flow_usd,Free Cash Flow,USD,Cash Flow,Value Creation
discounted_fcf_usd,Discounted FCF,USD,Valuation,Executive View
