scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-15702916274.034496,0.0001
mc_base,Monte Carlo Base,-15625584740.032465,0.0002
mc_base,Monte Carlo Base,-15012641211.734268,0.0003
mc_base,Monte Carlo Base,-14952862943.988205,0.0004
mc_base,Monte Carlo Base,-14623087507.315872,0.0005
mc_base,Monte Carlo Base,-14485592223.365568,0.0006
mc_base,Monte Carlo Base,-14230697356.205006,0.0007
mc_base,Monte Carlo Base,-13941794357.028034,0.0008
mc_base,Monte Carlo Base,-13904095091.893974,0.0009
mc_base,Monte Carlo Base,-13685846991.834057,0.001
mc_base,Monte Carlo Base,-13624262341.648092,0.0011
mc_base,Monte Carlo Base,-13555873463.43697,0.0012
mc_base,Monte Carlo Base,-13549367128.661406,0.0013
mc_base,Monte Carlo Base,-13172277258.679667,0.0014
mc_base,Monte Carlo Base,-13126570611.415052,0.0015
mc_base,Monte Carlo Base,-13095596934.715384,0.0016
mc_base,Monte Carlo Base,-13069719176.053553,0.0017
mc_base,Monte Carlo Base,-12993679167.192354,0.0018
mc_base,Monte Carlo Base,-12934073391.918596,0.0019
mc_base,Monte Carlo Base,-12801923179.380068,0.002
mc_base,Monte Carlo Base,-12696483282.726671,0.0021
mc_base,Monte Carlo Base,-12668294821.30037,0.0022
mc_base,Monte Carlo Base,-12657165344.558397,0.0023
mc_base,Monte Carlo Base,-12588401828.03672,0.0024
mc_base,Monte Carlo Base,-12483318644.081947,0.0025
mc_base,Monte Carlo Base,-12471914053.942966,0.0026
mc_base,Monte Carlo Base,-12469493435.487583,0.0027
mc_base,Monte Carlo Base,-12426394641.580206,0.0028
mc_base,Monte Carlo Base,-12381880247.29687,0.0029
mc_base,Monte Carlo Base,-12352080112.8627,0.003
mc_base,Monte Carlo Base,-12327396539.97127,0.0031
mc_base,Monte Carlo Base,-12312000012.115473,0.0032
mc_base,Monte Carlo Base,-12277329147.538908,0.0033
mc_base,Monte Carlo Base,-12270603285.830805,0.0034
mc_base,Monte Carlo Base,-12269169506.888338,0.0035
mc_base,Monte Carlo Base,-12204640477.4199,0.0036
mc_base,Monte Carlo Base,-12166420017.144873,0.0037
mc_base,Monte Carlo Base,-12094353670.149527,0.0038
mc_base,Monte Carlo Base,-12090080225.778318,0.0039
mc_base,Monte Carlo Base,-12077541527.983147,0.004
mc_base,Monte Carlo Base,-12060945112.229128,0.0041
mc_base,Monte Carlo Base,-12055519145.703402,0.0042
mc_base,Monte Carlo Base,-12019328646.760767,0.0043
mc_base,Monte Carlo Base,-12001338749.45745,0.0044
mc_base,Monte Carlo Base,-11990568993.45262,0.0045
mc_base,Monte Carlo Base,-11950252060.628986,0.0046
mc_base,Monte Carlo Base,-11937365911.86297,0.0047
mc_base,Monte Carlo Base,-11904248464.103456,0.0048
mc_base,Monte Carlo Base,-11898196394.983969,0.0049
mc_base,Monte Carlo Base,-11878773763.392298,0.005
mc_base,Monte Carlo Base,-11819587539.932554,0.0051
mc_base,Monte Carlo Base,-11794741527.15672,0.0052
mc_base,Monte Carlo Base,-11737290731.057919,0.0053
mc_base,Monte Carlo Base,-11668745493.661255,0.0054
mc_base,Monte Carlo Base,-11658188431.334236,0.0055
mc_base,Monte Carlo Base,-11634450236.525452,0.0056
mc_base,Monte Carlo Base,-11633445091.623327,0.0057
mc_base,Monte Carlo Base,-11620256891.184008,0.0058
mc_base,Monte Carlo Base,-11613274148.156036,0.0059
mc_base,Monte Carlo Base,-11607959636.412235,0.006
mc_base,Monte Carlo Base,-11592336243.926422,0.0061
mc_base,Monte Carlo Base,-11589244979.794714,0.0062
mc_base,Monte Carlo Base,-11567583552.481815,0.0063
mc_base,Monte Carlo Base,-11541066396.998016,0.0064
mc_base,Monte Carlo Base,-11530580263.841072,0.0065
mc_base,Monte Carlo Base,-11476536519.662182,0.0066
mc_base,Monte Carlo Base,-11451247806.741615,0.0067
mc_base,Monte Carlo Base,-11394168630.984955,0.0068
mc_base,Monte Carlo Base,-11389093349.461578,0.0069
mc_base,Monte Carlo Base,-11334489109.040668,0.007
mc_base,Monte Carlo Base,-11310370297.491396,0.0071
mc_base,Monte Carlo Base,-11297693874.248283,0.0072
mc_base,Monte Carlo Base,-11295160518.467224,0.0073
mc_base,Monte Carlo Base,-11269089690.266815,0.0074
mc_base,Monte Carlo Base,-11240573792.820507,0.0075
mc_base,Monte Carlo Base,-11233710006.907675,0.0076
mc_base,Monte Carlo Base,-11220648691.028177,0.0077
mc_base,Monte Carlo Base,-11212614363.475819,0.0078
mc_base,Monte Carlo Base,-11197999566.243643,0.0079
mc_base,Monte Carlo Base,-11166548357.336828,0.008
mc_base,Monte Carlo Base,-11159807637.00508,0.0081
mc_base,Monte Carlo Base,-11128380797.904419,0.0082
mc_base,Monte Carlo Base,-11114635811.811846,0.0083
mc_base,Monte Carlo Base,-11091720925.04947,0.0084
mc_base,Monte Carlo Base,-11064005245.450132,0.0085
mc_base,Monte Carlo Base,-11016589163.20006,0.0086
mc_base,Monte Carlo Base,-10986534695.013197,0.0087
mc_base,Monte Carlo Base,-10969641063.86533,0.0088
mc_base,Monte Carlo Base,-10968243301.141548,0.0089
mc_base,Monte Carlo Base,-10953187930.863552,0.009
mc_base,Monte Carlo Base,-10941012943.629107,0.0091
mc_base,Monte Carlo Base,-10934256247.317537,0.0092
mc_base,Monte Carlo Base,-10923174758.867706,0.0093
mc_base,Monte Carlo Base,-10912892181.16393,0.0094
mc_base,Monte Carlo Base,-10895696347.597324,0.0095
mc_base,Monte Carlo Base,-10881493812.438744,0.0096
mc_base,Monte Carlo Base,-10873457479.539484,0.0097
mc_base,Monte Carlo Base,-10847500508.735731,0.0098
mc_base,Monte Carlo Base,-10841196804.954866,0.0099
mc_base,Monte Carlo Base,-10838929374.533073,0.01
mc_base,Monte Carlo Base,-10831350724.06599,0.0101
mc_base,Monte Carlo Base,-10796159046.087887,0.0102
mc_base,Monte Carlo Base,-10781955086.801497,0.0103
mc_base,Monte Carlo Base,-10778285944.457949,0.0104
mc_base,Monte Carlo Base,-10772753445.343525,0.0105
mc_base,Monte Carlo Base,-10757561170.571205,0.0106
